"","name","id","Timestamp","Image File","Researcher Name","Affiliation","Citation","Instrument name","Analysis Date","Polymer-type of particle","Magnification","Color of particle","Morphology of particle","Size of particle","Size dimension"
"1","SBCBEC1_SHAVING.jpg","1INQNASekvIVFC7avqDqfi-gYYSyqGK8X",2022,"SBCBEC1_SHAVING","Anna Kukkola","University of Birmingham","Kukkola et al. 2046","Olympus MVX-ZB34",2046,"NA","63x","clear","Fragment","100-500um","ferret diameter"
"2","SBC-ROCO2_BLACK.jpg","13ZkzPbjodJuryCuGBHuMYJhTips60wTZ",2022,"SBC-ROCO2_BLACK","Anna Kukkola","University of Birmingham","Kukkola et al. 2043","Olympus MVX-ZB31",2043,"NA","32x","black","fibre","1.5mm","longest length"
"3","SBC-BGR2_BLUEFRAG2.jpg","1G7OgYQP7SwHO_0GRZfXLEsVkaqKUVvtV",2022,"SBC-BGR2_BLUEFRAG2","Anna Kukkola","University of Birmingham","Kukkola et al. 2047","Olympus MVX-ZB35",2047,"NA","63x","blue","Fragment",">500","ferret diameter"
"4","SBC-93-1-BLUEFIBRE.jpg","1AyQ6DdxTtDijzyf0WaZEP62xsweeoT7r",2022,"SBC-93-1-BLUEFIBRE","Anna Kukkola","University of Birmingham","Kukkola et al. 2049","Olympus MVX-ZB37",2049,"NA","63x","blue","fibre",">3mm","longest length"
"5","SBC-93-1-BLACKFIBRE.jpg","18ZSLeGCj4UenKQV4yS_hp-izd5Q_m2_8",2022,"SBC-93-1-BLACKFIBRE","Anna Kukkola","University of Birmingham","Kukkola et al. 2048","Olympus MVX-ZB36",2048,"NA","63x","black","fibre","~2mm","longest length"
"6","BC-FOOT1_GreyFibre.jpg","1V7vAm6ow9CKQOHeH8gu9mrpQ1iqOHp7D",2022,"BC-FOOT1_GreyFibre","Anna Kukkola","University of Birmingham","Kukkola et al. 2045","Olympus MVX-ZB33",2045,"NA","63x","grey","fibre","100-500um","longest length"
"7","MBC-CR-TAN.jpg","1jIoUJ9XBt_8LAsPM5Omm4LvjTTYeI8_u",2022,"MBC-CR-TAN","Anna Kukkola","University of Birmingham","Kukkola et al. 2052","Olympus MVX-ZB40",2052,"NA","32x","tan","fibre","~1mm","longest length"
"8","BC-BRO2_BLACK2.jpg","1-eTwB9-qOuhS1Q5hE03NdwLbXfoFF9IC",2022,"BC-BRO2_BLACK2","Anna Kukkola","University of Birmingham","Kukkola et al. 2042","Olympus MVX-ZB30",2042,"NA","63x","black","fibre","~1mm","longest length"
"9","BC-BRO1_PINKFRAG.jpg","19PZnODJKokhGfhRvsRfUBLeyfK3bqn_A",2022,"BC-BRO1_PINKFRAG","Anna Kukkola","University of Birmingham","Kukkola et al. 2044","Olympus MVX-ZB32",2044,"NA","63x","pink","Fragment","100-500um","ferret diameter"
"10","BC-AFB1-P2BF.jpg","1LwsilI1tYNqxno9BKD0CNMEMc5tlNuzR",2022,"BC-AFB1-P2BF","Anna Kukkola","University of Birmingham","Kukkola et al. 2039","Olympus MVX-ZB27",2039,"NA","32x","Clear","Fragment","100-500um","ferret diameter"
"11","BC-AFB2-RED.jpg","1cL_TkNCjxBvAGdOsF0a4s8Kw7626GPLD",2022,"BC-AFB2-RED","Anna Kukkola","University of Birmingham","Kukkola et al. 2041","Olympus MVX-ZB29",2041,"NA","63x","red","fibre","2mm","longest length"
"12","BC-100-2-P7_BF.jpg","1qrJLvcQcSpTI4cK4_mHFyOfIby_Z8Kvw",2022,"BC-100-2-P7_BF","Anna Kukkola","University of Birmingham","Kukkola et al. 2050","Olympus MVX-ZB38",2050,"NA","32x","stained","Fragment","100-500um","ferret diameter"
