SampleID,SubsampleID,Size,Percentage
Dalmau-Soler_10.1007/s11783-021-1492-5,N/A,20 um- 5 mm,N/A
AverageAll_10.1016/j.envres.2022.112855,N/A,0-20 um,38.6%
AverageAll_10.1016/j.envres.2022.112855,N/A,20-50 um,41.4%
Pivokonsky1.10.1016/j.cotox.2021.09.003,N/A,1-100 um,N/A
Pivokonsky1.10.1016/j.cotox.2021.09.003,N/A,>100 um,N/A
Pivokonsky2.10.1016/j.cotox.2021.09.003,N/A,1-100 um,N/A
Pivokonsky2.10.1016/j.cotox.2021.09.003,N/A,>100 um,N/A
Finished.10.1016/j.scitotenv.2019.134520,N/A,1-5 um,793 particles
Finished.10.1016/j.scitotenv.2019.134520,N/A,4-10 um,136 particles
Finished.10.1016/j.scitotenv.2019.134520,N/A,10-50 um,1 particles
April_DWTP.10.1007/s11356-021-13769-x,N/A,1-10 um,N/A
April_DWTP.10.1007/s11356-021-13769-x,N/A,10-50 um,N/A
April_DWTP.10.1007/s11356-021-13769-x,N/A,50-100 um,N/A
April_DWTP.10.1007/s11356-021-13769-x,N/A,>100 um,N/A
April_Tap.10.1007/s11356-021-13769-x,N/A,1-10 um,N/A
April_Tap.10.1007/s11356-021-13769-x,N/A,10-50 um,N/A
April_Tap.10.1007/s11356-021-13769-x,N/A,50-100 um,N/A
April_Tap.10.1007/s11356-021-13769-x,N/A,>100 um,N/A
May_DWTP.10.1007/s11356-021-13769-x,N/A,1-10 um,N/A
May_DWTP.10.1007/s11356-021-13769-x,N/A,10-50 um,N/A
May_DWTP.10.1007/s11356-021-13769-x,N/A,50-100 um,N/A
May_DWTP.10.1007/s11356-021-13769-x,N/A,>100 um,N/A
May_Tap.10.1007/s11356-021-13769-x,N/A,1-10 um,N/A
May_Tap.10.1007/s11356-021-13769-x,N/A,10-50 um,N/A
May_Tap.10.1007/s11356-021-13769-x,N/A,50-100 um,N/A
May_Tap.10.1007/s11356-021-13769-x,N/A,>100 um,N/A
June_DWTP.10.1007/s11356-021-13769-x,N/A,1-10 um,N/A
June_DWTP.10.1007/s11356-021-13769-x,N/A,10-50 um,N/A
June_DWTP.10.1007/s11356-021-13769-x,N/A,50-100 um,N/A
June_DWTP.10.1007/s11356-021-13769-x,N/A,>100 um,N/A
June_Tap.10.1007/s11356-021-13769-x,N/A,1-10 um,N/A
June_Tap.10.1007/s11356-021-13769-x,N/A,10-50 um,N/A
June_Tap.10.1007/s11356-021-13769-x,N/A,50-100 um,N/A
June_Tap.10.1007/s11356-021-13769-x,N/A,>100 um,N/A
July_DWTP.10.1007/s11356-021-13769-x,N/A,1-10 um,N/A
July_DWTP.10.1007/s11356-021-13769-x,N/A,10-50 um,N/A
July_DWTP.10.1007/s11356-021-13769-x,N/A,50-100 um,N/A
July_DWTP.10.1007/s11356-021-13769-x,N/A,>100 um,N/A
July_Tap.10.1007/s11356-021-13769-x,N/A,1-10 um,N/A
July_Tap.10.1007/s11356-021-13769-x,N/A,10-50 um,N/A
July_Tap.10.1007/s11356-021-13769-x,N/A,50-100 um,N/A
July_Tap.10.1007/s11356-021-13769-x,N/A,>100 um,N/A
TCQS.10.1016/j.scitotenv.2021.148001,N/A,<0.5 mm,24.27%
TCQS.10.1016/j.scitotenv.2021.148001,N/A,0.5-1 mm,23.22%
TCQS.10.1016/j.scitotenv.2021.148001,N/A,1-2 mm,30.23%
TCQS.10.1016/j.scitotenv.2021.148001,N/A,2-5 mm,22.28%
SHN.10.1016/j.scitotenv.2021.148001,N/A,<0.5 mm,24.27%
SHN.10.1016/j.scitotenv.2021.148001,N/A,0.5-1 mm,23.22%
SHN.10.1016/j.scitotenv.2021.148001,N/A,1-2 mm,30.23%
SHN.10.1016/j.scitotenv.2021.148001,N/A,2-5 mm,22.28%
CHQ.10.1016/j.scitotenv.2021.148001,N/A,<0.5 mm,24.27%
CHQ.10.1016/j.scitotenv.2021.148001,N/A,0.5-1 mm,23.22%
CHQ.10.1016/j.scitotenv.2021.148001,N/A,1-2 mm,30.23%
CHQ.10.1016/j.scitotenv.2021.148001,N/A,2-5 mm,22.28%
CHH.10.1016/j.scitotenv.2021.148001,N/A,<0.5 mm,24.27%
CHH.10.1016/j.scitotenv.2021.148001,N/A,0.5-1 mm,23.22%
CHH.10.1016/j.scitotenv.2021.148001,N/A,1-2 mm,30.23%
CHH.10.1016/j.scitotenv.2021.148001,N/A,2-5 mm,22.28%
ZHB.10.1016/j.scitotenv.2021.148001,N/A,<0.5 mm,24.27%
ZHB.10.1016/j.scitotenv.2021.148001,N/A,0.5-1 mm,23.22%
ZHB.10.1016/j.scitotenv.2021.148001,N/A,1-2 mm,30.23%
ZHB.10.1016/j.scitotenv.2021.148001,N/A,2-5 mm,22.28%
DAS.10.1016/j.scitotenv.2021.148001,N/A,<0.5 mm,24.27%
DAS.10.1016/j.scitotenv.2021.148001,N/A,0.5-1 mm,23.22%
DAS.10.1016/j.scitotenv.2021.148001,N/A,1-2 mm,30.23%
DAS.10.1016/j.scitotenv.2021.148001,N/A,2-5 mm,22.28%
XHS.10.1016/j.scitotenv.2021.148001,N/A,<0.5 mm,24.27%
XHS.10.1016/j.scitotenv.2021.148001,N/A,0.5-1 mm,23.22%
XHS.10.1016/j.scitotenv.2021.148001,N/A,1-2 mm,30.23%
XHS.10.1016/j.scitotenv.2021.148001,N/A,2-5 mm,22.28%
HNZ.10.1016/j.scitotenv.2021.148001,N/A,<0.5 mm,24.27%
HNZ.10.1016/j.scitotenv.2021.148001,N/A,0.5-1 mm,23.22%
HNZ.10.1016/j.scitotenv.2021.148001,N/A,1-2 mm,30.23%
HNZ.10.1016/j.scitotenv.2021.148001,N/A,2-5 mm,22.28%
TCH.10.1016/j.scitotenv.2021.148001,N/A,<0.5 mm,24.27%
TCH.10.1016/j.scitotenv.2021.148001,N/A,0.5-1 mm,23.22%
TCH.10.1016/j.scitotenv.2021.148001,N/A,1-2 mm,30.23%
TCH.10.1016/j.scitotenv.2021.148001,N/A,2-5 mm,22.28%
WHH.10.1016/j.scitotenv.2021.148001,N/A,<0.5 mm,24.27%
WHH.10.1016/j.scitotenv.2021.148001,N/A,0.5-1 mm,23.22%
WHH.10.1016/j.scitotenv.2021.148001,N/A,1-2 mm,30.23%
WHH.10.1016/j.scitotenv.2021.148001,N/A,2-5 mm,22.28%
Spr.10.1016/j.scitotenv.2021.148001,N/A,<0.5 mm,24.27%
Spr.10.1016/j.scitotenv.2021.148001,N/A,0.5-1 mm,23.22%
Spr.10.1016/j.scitotenv.2021.148001,N/A,1-2 mm,30.23%
Spr.10.1016/j.scitotenv.2021.148001,N/A,2-5 mm,22.28%
Sum.10.1016/j.scitotenv.2021.148001,N/A,<0.5 mm,24.27%
Sum.10.1016/j.scitotenv.2021.148001,N/A,0.5-1 mm,23.22%
Sum.10.1016/j.scitotenv.2021.148001,N/A,1-2 mm,30.23%
Sum.10.1016/j.scitotenv.2021.148001,N/A,2-5 mm,22.28%
Aut.10.1016/j.scitotenv.2021.148001,N/A,<0.5 mm,24.27%
Aut.10.1016/j.scitotenv.2021.148001,N/A,0.5-1 mm,23.22%
Aut.10.1016/j.scitotenv.2021.148001,N/A,1-2 mm,30.23%
Aut.10.1016/j.scitotenv.2021.148001,N/A,2-5 mm,22.28%
Win.10.1016/j.scitotenv.2021.148001,N/A,<0.5 mm,24.27%
Win.10.1016/j.scitotenv.2021.148001,N/A,0.5-1 mm,23.22%
Win.10.1016/j.scitotenv.2021.148001,N/A,1-2 mm,30.23%
Win.10.1016/j.scitotenv.2021.148001,N/A,2-5 mm,22.28%
